State,Population,Total Offenses
Total,"278,449,430","8,567,952"
Alabama,"4,715,066","131,304"
Alaska,"443,171","9,938"
Arizona,"4,649,268","125,876"
Arkansas,"2,981,249","109,867"
California,"25,009,663","787,673"
Colorado,"5,822,451","263,118"
Connecticut,"3,617,176","97,740"
Delaware,"1,031,890","37,684"
District of Columbia,"678,972","56,798"
Florida,"9,583,627","208,111"
Georgia,"10,098,610","275,919"
Hawaii,"1,270,885","26,323"
Idaho,"1,957,679","28,861"
Illinois,"11,210,798","365,059"
Indiana,"5,854,222","135,968"
Iowa,"2,998,687","73,245"
Kansas,"2,705,648","100,550"
Kentucky,"4,524,497","110,661"
Louisiana,"3,423,421","117,000"
Maine,"1,395,722","24,943"
Maryland,"5,986,435","206,471"
Massachusetts,"6,971,044","145,189"
Michigan,"9,517,887","260,506"
Minnesota,"5,732,979","157,653"
Mississippi,"1,711,605","38,607"
Missouri,"6,100,091","201,415"
Montana,"1,131,954","31,958"
Nebraska,"1,902,679","47,723"
Nevada,"3,181,298","127,065"
New Hampshire,"1,361,616","24,936"
New Jersey,"6,291,305","150,952"
New Mexico,"1,885,968","99,183"
New York,"13,603,665","455,153"
North Carolina,"10,421,456","343,890"
North Dakota,"783,926","24,322"
Ohio,"11,239,743","294,486"
Oklahoma,"4,053,824","135,703"
Oregon,"4,175,772","169,856"
Pennsylvania,"5,502,689","189,122"
Rhode Island,"1,094,548","23,470"
South Carolina,"5,363,912","187,818"
South Dakota,"844,189","22,660"
Tennessee,"7,121,949","261,520"
Texas,"30,161,963","999,345"
Utah,"3,399,787","97,009"
Vermont,"647,464","16,744"
Virginia,"8,715,117","252,659"
Washington,"7,758,180","355,942"
West Virginia,"1,555,284","29,425"
Wisconsin,"5,743,277","117,437"
Wyoming,"515,122","13,095"
